split,col,proxy_versions,count,mean,std,min,1%,10%,50%,90%,99%,max
val,loss_indicator,v3,6851.0,0.481681506349438,0.49970079062656986,0.0,0.0,0.0,0.0,1.0,1.0,1.0
val,lt_at,"v1,v2,v3",6851.0,78.44566414641547,754.5294071346794,1.3179255113427813e-06,0.00014102348988714777,0.040846049993863286,0.5486141349695993,10.782945736434117,968.7507601522342,36897.84946236557
val,niadj_at,v3,6851.0,-45.39109246160564,1440.1325572296562,-112345.16129032253,-676.392786400477,-1.1637649619151256,4.8754910707298366e-05,0.15081743869209815,87.40671620607219,8001.075268817206
val,nwc_at,"v1,v2,v3",6851.0,-14.308409551324644,716.8889274701219,-36897.54838709676,-421.3484705765087,-0.2578712714390433,0.13058350737360602,0.8921979865771815,694.9701930859082,991.5643469971396
val,ocf_to_debt,v2,6257.0,-204.36685913184527,12809.008833028705,-409242.8571428574,-1411.439581151833,-6.912278683697135,0.08554047036130277,2.1817083192239934,315.1826413929511,624555.3835577208
val,ppent_at,"v1,v2,v3",6851.0,17.917083825288852,92.55717973574062,0.0,0.0,7.734257421020992e-05,0.10303582449231496,0.8892920754568452,580.6795635207702,945.1975153434445
val,prstkc_at,"v1,v3",6851.0,1.080733649595507,14.471079399703303,0.0,0.0,0.0,0.0,0.039868701930267474,16.036959186452915,539.9981939678526
val,re_at,"v1,v3",6851.0,-519.3894961834666,6717.3847150665115,-312700.0000000001,-8924.374811463043,-16.65524660708375,-0.07745100358380543,0.4228401928068226,243.1727811601057,1229.132737276477
val,rect_act,"v1,v2,v3",6851.0,17.828657517357204,87.02833528193715,0.0,0.0,8.953479351451985e-05,0.22758797716688461,7.6968560574820835,468.8035113817382,2563.448339246705
val,st_debt_share,"v1,v2",6257.0,0.30624377666432595,0.3568817789056442,0.0,0.0,0.00014943728389694454,0.13730252431551138,0.9955078461215671,1.0,1.0
val,xint_at,"v1,v2,v3",6851.0,3.932515222833081,82.16142848891339,0.0,0.0,0.0,0.006404371802330129,0.1622612681436209,44.10236896982545,4705.376344086021
test,cash_at,"v1,v2,v3",19696.0,18.120470734506544,97.92248169750637,0.0,0.0,0.002115372781740254,0.11223195004133091,0.9238808996926895,633.5358673176265,991.243243243244
test,ceq_at,"v1,v3",19696.0,-2.1764432070064603,1347.4321694538007,-174844.08602150524,-291.52879660400635,-0.12442866769050276,0.38319508732882296,0.9270015221660524,811.9715940037704,1310.2913825170479
test,current_ratio,"v1,v2,v3",19696.0,266.2125555258584,3293.3193963203616,1.8905378580206075e-06,0.0004932894197649336,0.09827483312139682,1.638156528559851,15.043163859643641,5336.427815153277,235704.25531914886
test,debt_at,"v1,v2",19696.0,31.1551882230452,678.0384868367032,0.0,0.0,0.0010076585949523333,0.19803195845082516,1.4534702554720584,585.8466265087355,85651.61290322577
test,debt_to_ebitda,"v1,v2",19688.0,-1580.4773789961869,445134.4508431182,-56963694.45345159,-1987.4268296947607,-2.8105796082645855,0.37739215207117205,10.870949731371354,6435.677455369856,23707696.74523647
test,dlc_at,v1,19696.0,15.107950326833443,646.3723418306796,0.0,0.0,0.0,0.017017077967405814,0.47122323483956435,157.12800043444997,85651.61290322577
test,dltt_at,v1,19696.0,16.047237896211758,159.3708946656148,0.0,0.0,0.0,0.10714170525792313,0.7355528374941327,455.5739055780647,18024.73118279569
test,ebit_to_capital,"v1,v2,v3",19688.0,-24.130146590465802,3106.5342316384376,-432633.33333333366,-39.96950541814587,-0.8188319127360418,0.03557719654994769,0.3477452471966178,15.785473670549356,22800.000000000007
test,ebitda_at,"v1,v2",19696.0,-20.0489255480796,287.98339801179776,-21578.494623655915,-639.5311833636763,-1.067490246723156,0.017186751659413683,0.2161078979465616,141.52105425046688,8545.081081081076
test,fcf_to_debt,v2,18374.0,729.5987513460259,151003.47588605268,-1646400.0,-1054.1157894736848,-9.2070005566663,0.006585123749198054,1.4426431034764997,143.9280988585032,20376800.00000001
test,intan_at,"v1,v2,v3",19696.0,9.185256483569113,63.61533368179224,0.0,0.0,0.0,0.018677437866225725,0.5932870619928167,365.96236634421,984.6209386281582
test,interest_coverage,"v1,v2",17407.0,-3114.1094786254266,108247.0809084864,-8694264.548349366,-38089.14931506848,-117.69779882604054,2.7993361277348394,78.24751401084906,18542.30777772806,5224617.500000002
test,invt_act,"v1,v2,v3",19696.0,10.219137832745227,66.32725998782506,0.0,0.0,0.0,0.012406678646875391,0.5327148811911754,402.8722896994625,897.6331360946742
test,ln_at,"v1,v2,v3",19696.0,11.29667096142019,3.457218225261898,-0.07257069283483537,1.0880543342414077,7.058156046339553,11.543962978834173,15.35402636480405,17.74234588470021,17.74234588470021
test,loss_indicator,v3,19696.0,0.5027416734362307,0.5000051763953944,0.0,0.0,0.0,1.0,1.0,1.0,1.0
test,lt_at,"v1,v2,v3",19696.0,72.06594853968306,1485.074641291302,1.3614255550880947e-06,0.00017083315719202522,0.051772517890699615,0.5759396961829015,5.059860204593953,984.2645248060928,196832.25806451612
test,niadj_at,v3,19696.0,-32.63398334051534,584.9490729257595,-43775.26881720431,-762.387130899514,-1.501915335682147,-1.0983852747334663e-05,0.13208419320128412,77.90301080136321,13491.571428571437
test,nwc_at,"v1,v2,v3",19696.0,-14.167886680793739,1459.0743416952023,-196831.4193548387,-349.73953264716687,-0.3891165926801634,0.101729708907154,0.8139521133489822,611.5338119644175,994.1298198349888
test,ocf_to_debt,v2,18374.0,852.3366036069812,154885.497144723,-1634700.0,-762.1832862895974,-6.370690876152827,0.09005418833758697,2.1831255361809934,219.4194563663087,20913100.00000001
test,ppent_at,"v1,v2,v3",19696.0,16.652946551363033,92.4592124601637,0.0,0.0,0.0001227394833375357,0.11470895262905907,0.8721107498293648,580.6638077168346,991.5794163510805
test,prstkc_at,"v1,v3",19696.0,0.9677813700913976,32.02067629408289,0.0,0.0,0.0,0.0,0.05005113896442301,15.33531970399365,3845.0884744141554
test,re_at,"v1,v3",19696.0,-580.2025319707678,11347.444556213093,-1048298.9247311819,-8317.147033470006,-16.460049460770172,-0.06506293544032497,0.4422665359945611,250.47347238430103,2345.6859770068127
test,rect_act,"v1,v2,v3",19696.0,19.56013260630273,142.48330843824655,0.0,0.0,0.00023872242288846705,0.26277685375355064,10.147463792866649,513.6167457237541,15621.560218132287
test,st_debt_share,"v1,v2",18374.0,0.3341469615029836,0.3631775748238397,0.0,0.0,0.0005863942486673527,0.16914378651786105,0.996160786714347,1.0,1.0
test,xint_at,"v1,v2,v3",19696.0,4.693322890755864,164.26434002239333,0.0,0.0,0.0,0.00802348204636252,0.13303434053995078,46.34967947406287,15302.150537634408
